Texto,Label,Tipo,Veredito original,Fonte,URL,Data,Arquivo bruto
Daniel Vorcaro entregou em delação quem foi responsável pelo atentado contra Bolsonaro em 2018,Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/vorcaro-delatou-mandante-atentado-bolsonaro/,2026-04-28 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
PF conclui que troca de mensagens entre Flávio Bolsonaro e Vorcaro não apresenta indícios de crime,Fake,claim,Falso,AFP Checamos,https://checamos.afp.com/doc.afp.com.B3LY39F,2026-05-21 15:25:08,data/raw\factcheck_Bolsonaro_0.csv
Juíza corajosa desafia Moraes e manda libertar Jair Bolsonaro,Fake,claim,Falso,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/04/27/falso-juiza-mandou-libertar-jair-bolsonaro.ghtm,2026-04-27 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Vídeos de personalidades públicas brasileiras criticando Bolsonaro,Fake,claim,Falso,AFP Checamos,https://checamos.afp.com/doc.afp.com.A96M7KE,2026-04-27 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
The Intercept Brasil pediu desculpas por falta de provas em matéria sobre Flávio Bolsonaro e Daniel Vorcaro,Fake,claim,Falso,AFP Checamos,https://checamos.afp.com/doc.afp.com.B3DX663,2026-05-19 21:44:38,data/raw\factcheck_Bolsonaro_0.csv
"Intercept publicou R$ 134 milhões, Metrópoles R$ 61 milhões e Globo 2 milhões",Fake,claim,Enganoso,AFP Checamos,https://checamos.afp.com/doc.afp.com.B3DQ6ZQ,2026-05-19 20:44:29,data/raw\factcheck_Bolsonaro_0.csv
Polícia Federal concluí que troca de mensagens entre Flávio Bolsonaro e Daniel Vorcaro não apresenta indícios de crime,Fake,claim,Falso,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/19/falso-pf-conclusao-audio-crime-flavio-bolsonaro-daniel-vorcaro.ghtm,2026-05-19 19:17:46,data/raw\factcheck_Bolsonaro_0.csv
Juíza desafia Moraes e ordena soltura de Jair Bolsonaro,Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/juiza-mandou-soltar-bolsonaro/,2026-04-24 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
PF concluiu que troca de mensagens entre Flávio e Vorcaro não configura crime,Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/pf-crime-mensagens-flavio-vorcaro/,2026-05-18 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Ulysses Guimarães critica Bolsonaro em 1988,Fake,claim,Falso,AFP Checamos,https://checamos.afp.com/doc.afp.com.A8FJ8T4,2026-04-20 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Bolsonaro não usou cartões corporativos enquanto era presidente,Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-cartao-corporativo/,2026-04-17 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Em 1988 Raul Seixas se assusta com Bolsonaro,Fake,claim,Falso,AFP Checamos,https://checamos.afp.com/doc.afp.com.A8472T3,2026-04-16 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Paulo Guedes disse que Bolsonaro dependia dos filhos para aprovar tudo na Presidência,Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/guedes-bolsonaro-nao-mandava-em-nada/,2026-04-15 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Alexandre Frota confessou ter namorado Jair Bolsonaro por dois anos,Fake,claim,Enganoso,Estadão,https://www.estadao.com.br/estadao-verifica/alexandre-frota-namorou-bolsonaro-enganoso/,2026-04-15 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Alexandre Frota confessa que foi namorado de Bolsonaro por dois anos o artista pornográfico era namorado de Bolsonaro,Fake,claim,Falso,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/15/falso-alexandre-frota-namorou-jair-bolsonaro.ghtm,2026-04-15 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
"Paulo Guedes diz que Bolsonaro não mandava na presidência e dependia dos filhos Eduardo e Flávio para aprovar tudo. Guedes diz que “cansava de reclamar que os filhos queriam colocar o dinheiro dos negócios junto com o Queiroz no orçamento secreto, sendo que o presidente Bolsonaro não sabia de nada”.",Fake,claim,Falso,Estadão,https://www.estadao.com.br/estadao-verifica/video-paulo-guedes-filhos-bolsonaro-mandavam-presidencia-ia-falso/,2026-04-14 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Band foi pressionada a demitir comentarista após ele criticar o conluio entre o STF e a PGR contra Bolsonaro,Fake,claim,Falso,Estadão,https://www.estadao.com.br/estadao-verifica/band-demite-comentarista-stf-bolsonaro-falso/,2026-04-13 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Flávio prometeu “auxílio sacolão de ossos” caso seja eleito,Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/flavio-bolsonaro-auxilio-sacolao-osso/,2026-05-06 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Gonzaguinha critica Bolsonaro em 1990,Fake,claim,Falso,AFP Checamos,https://checamos.afp.com/doc.afp.com.A7F44KE,2026-04-10 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
A Polícia Federal pede a prisão do Alexandre de Moraes por fraudar Documentos falsos contra o Jair messias Bolsonaro.,Fake,claim,Falso,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/10/falso-pf-pedido-prisao-alexandre-de-moraes.ghtm,2026-04-10 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Shakira 'fez o L' durante show em Copacabana,Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/shakira-lula-bolsonaro-show-brasil/,2026-05-04 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Ludmilla denuncia Jair Bolsonaro por caso de racismo,Fake,claim,Falso,AFP Checamos,https://checamos.afp.com/doc.afp.com.A7BB8WE,2026-04-09 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Flávio Bolsonaro disse que vai acabar como PIX para agradar o Trump,Fake,claim,Falso,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/04/08/falso-flavio-bolsonaro-pix-imagem-montagem.ghtm,2026-04-08 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Em 1988 Renato Russo já dava alerta sobre Bolsonaro,Fake,claim,Falso,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/04/07/falso-videos-renato-russo-cazuza-gonzaguinha-critica-jair-bolsonaro.amp.htm,2026-04-07 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
"PF pediu prisão de Moraes, que fraudou documentos contra Jair Bolsonaro",Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-pf-pediu-prisao-de-moraes-por-fraude-documental-contra-bolsonaro/,2026-04-06 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Personalides como Renato Russo alertaram no passado sobre perigo que Bolsonaro representava,Fake,claim,Falso,Estadão,https://www.estadao.com.br/estadao-verifica/videos-usam-ia-para-criar-alertas-de-gonzaguinha-renato-russo-e-cazuza-sobre-bolsonaro/,2026-04-06 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
"Se Flávio Bolsonaro vencer, eu vou embora para Cuba, diz Lula",Fake,claim,Falso,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/27/falso-lula-mudanca-cuba-perder-eleicao-flavio-bolsonaro.ghtm,2026-04-27 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Vídeo mostra Bolsonaro e Michelle comemorando prisão domiciliar em 2026,Fake,claim,Falso,AFP Checamos,https://checamos.afp.com/doc.afp.com.A6LU69F,2026-04-02 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Trump disse que vai prender Lula e libertar Jair Bolsonaro,Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/video-dublagem-falsa-trump-lula/,2026-03-31 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
"‘Se Flávio Bolsonaro vencer, eu vou embora para Cuba’, diz Lula",Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/lula-cuba-flavio-bolsonaro/,2026-04-24 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Jair Bolsonaro sai do hospital em pé acenando para apoiadores,Fake,claim,Enganoso,Estadão,https://www.estadao.com.br/estadao-verifica/bolsonaro-acena-alta-hospital-enganoso-2025/,2026-03-30 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
A situação clínica do ex-presidente acaba de se agravar e informações de bastidores sugerem uma tentativa de eliminação física por agentes patogénicos colocados na sua cela,Fake,claim,Errado,Observador,https://observador.pt/factchecks/fact-check-jair-bolsonaro-foi-envenenado-com-chumbo-dentro-da-prisao/,,data/raw\factcheck_Bolsonaro_0.csv
"Jair Bolsonaro (PL) mente sobre seu estado de saúde, pois deixou hospital caminhando e acenando",Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/video-em-que-bolsonaro-sai-de-hospital-andando-e-de-2025/,2026-03-26 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Vídeo mostra Bolsonaro deixando UTI do hospital,Fake,claim,Enganoso,Estadão,https://www.estadao.com.br/estadao-verifica/video-em-que-bolsonaro-circula-em-corredor-de-hospital-foi-feito-apos-cirurgia-em-2025-nao-agora/,2026-03-25 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
"Esposa do médico de Jair Bolsonaro publicou foto em que ex-presidente aparece em pé e sorridente no quarto do hospital DF Star, em Brasília, após receber alta da UTI",Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/foto-que-mostra-bolsonaro-em-pe-e-sorridente-no-hospital-nao-e-atual/,2026-03-25 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
"Governo de Jair Bolsonaro conseguiu segurar o preço da gasolina e entregá-la a R$ 4,88 em meio a guerra da Ucrânia, quando o valor do barril do petróleo chegou a custar US$ 141,00.",Fake,claim,Enganoso,Estadão,https://www.estadao.com.br/estadao-verifica/preco-gasolina-brasil-inicio-guerra-ucrania-bolsonaro/,2026-03-25 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
"Cena mostra Jair Bolsonaro caminhando após receber alta da UTI e ser transferido para um quarto no hospital DF Star, em Brasília",Fake,claim,não_é_bem_assim,Aos Fatos,https://www.aosfatos.org/noticias/video-bolsonaro-caminhando-hospital-2025-nao-atual/,2026-03-24 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
BOLSONARO APARECE NA UTI EM VÍDEO DIVULGADO POR CARLOS BOLSONARO.,Fake,claim,Distorcido,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/03/24/falso-video-bolsonaro-internado-uti-pneumonia.ghtm,2026-03-24 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Flavio quer revogar isenção do Importo de Renda (IR),Fake,claim,Falso,Estadão,https://www.estadao.com.br/estadao-verifica/flavio-bolsonaro-nao-revogar-isencao-imposto-renda-aumento-tributo/,2026-04-17 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Flávio Bolsonaro disse que irá privatizar o SUS no dia em que tomar posse como presidente da República,Fake,claim,Falso,Estadão,https://www.estadao.com.br/estadao-verifica/flavio-bolsonaro-privatizar-sus-falso/,2026-04-14 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Bolsonaro foi envenenado na prisão,Fake,claim,Falso,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/03/20/falso-bolsonaro-internado-envenenamento-chumbo-prisao.ghtm,2026-03-20 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Áudio vazado de Alexandre de Moraes dando ordem a delegado da PF para não permitir que Bolsonaro receba acompanhamento médico,Fake,claim,Falso,Estadão,https://www.estadao.com.br/estadao-verifica/audio-ia-alexandre-de-moraes-bolsonaro-visitas/,2026-03-20 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Jair Bolsonaro está internado porque foi envenenado por algo em sua cela na Papudinha,Fake,claim,Falso,Estadão,https://www.estadao.com.br/estadao-verifica/bolsonaro-internado-envenenado-falso/,2026-03-18 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Vídeo mostra o estado de Bolsonaro internado em 2026,Fake,claim,Enganoso,AFP Checamos,https://checamos.afp.com/doc.afp.com.A3NK8WF,2026-03-17 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Vídeo mostra Jair Bolsonaro internado atualmente na UTI de um hospital,Fake,claim,Enganoso,Estadão,https://www.estadao.com.br/estadao-verifica/video-mostra-bolsonaro-uti-michelle-2023/,2026-03-16 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Flávio vai acabar com o Pix,Fake,claim,Falso,Estadão,https://www.estadao.com.br/estadao-verifica/flavio-bolsonaro-acabar-com-pix-falso/,2026-04-06 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Fux ordena liberdade ao Bolsonaro,Fake,claim,Falso,AFP Checamos,https://checamos.afp.com/doc.afp.com.A2V88ZQ,2026-03-11 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
PF descobre que Moraes recebeu R$ 30 milhões por mês para prender Bolsonaro,Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/nao-e-verdade-que-moraes-recebeu-propina-para-prender-bolsonaro/,2026-03-10 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
PF descobriu que Alexandre de Moraes recebeu dinheiro para condenar Jair Bolsonaro,Fake,claim,Falso,Estadão,https://www.estadao.com.br/estadao-verifica/e-falso-que-pf-tenha-afirmado-que-moraes-prendeu-bolsonaro-por-dinheiro/,2026-03-10 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Polícia Federal descobre que Moraes prendeu Bolsonaro por dinheiro,Fake,claim,Falso,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/03/09/e-falso-que-pf-descobriu-que-moraes-prendeu-bolsonaro-por-dinheiro.htm,2026-03-09 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Vídeo da manifestação pró Bolsonaro na Paulista em 1º de março de 2026,Fake,claim,Falso,AFP Checamos,https://checamos.afp.com/doc.afp.com.99YJ9NQ,2026-03-04 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
Magno Malta criticou Flávio Bolsonaro e Jair Bolsonaro por 'rachadinha' e disse esperar que Flávio saísse preso de CPMI,Fake,claim,Enganoso,Estadão,https://www.estadao.com.br/estadao-verifica/magno-malta-flavio-bolsonaro-jair-bolsonaro-rachadinha/,2026-03-04 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
"Governo Bolsonaro gasta R$ 27,6 milhões em 4 anos no cartão corporativo. Governo Lula gasta R$ 1,4 bilhão no cartão corporativo.",Fake,claim,Distorcido,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/02/27/post-engana-comparacao-cartao-corporativo-lula-bolsonaro.htm,2026-02-27 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
g1 publicou no X que Lulinha tem relação com Jair Bolsonaro,Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/falso-g1-associou-lulinha-a-bolsonaro-nas-redes/,2026-02-27 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
Galera escuta o que Leonel brizola falou sobre bolsonaro antes de morre ele ja foi gonvernador,Fake,claim,Falso,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/02/27/falso-audio-leonel-brizola-acusa-bolsonaro-milicia.htm,2026-02-27 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
"Governo Lula gastou R$ 1,4 bilhão em cartão corporativo e Bolsonaro, R$ 27 milhões",Fake,claim,Enganoso,Estadão,https://www.estadao.com.br/estadao-verifica/gastos-cartao-corporativo-lula-bolsonaro/,2026-02-26 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
"Lula usou R$ 12,4 bilhões no cartão corporativo e Bolsonaro R$ 27,6 milhões",Fake,claim,Falso,AFP Checamos,https://checamos.afp.com/doc.afp.com.992Y7KE,2026-02-26 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
MPF confirmou que não houve corrupção no governo Bolsonaro durante a pandemia,Fake,claim,Enganoso,Estadão,https://www.estadao.com.br/estadao-verifica/postagem-engana-ao-afirmar-que-mpf-confirmou-inexistencia-de-corrupcao-na-pandemia/,2026-02-25 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
"Lula usou R$ 1,4 bilhão no cartão corporativo e Bolsonaro R$ 41,2 milhões",Fake,claim,Enganoso,AFP Checamos,https://checamos.afp.com/doc.afp.com.98XY4WG,2026-02-25 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
MPF confirma que não houve corrupção e genocídio no governo Bolsonaro,Fake,claim,Enganoso,AFP Checamos,https://checamos.afp.com/doc.afp.com.98W94CQ,2026-02-25 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
"Lula gastou R$ 1,4 bi no cartão corporativo e Bolsonaro apenas R$ 27 milhões",Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/posts-enganam-ao-comparar-gastos-de-cartao-corporativo-de-lula-e-bolsonaro/,2026-02-24 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
"Música-tema do filme ‘Dark Horse’, sobre Bolsonaro, está entre as mais ouvidas nos EUA",Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-musica-filme-bolsonaro-lancada-seja-sucesso-nos-eua/,2026-02-23 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
Bolsonaro explica como usou a mentira para chegar ao poder,Fake,claim,Falso,AFP Checamos,https://checamos.afp.com/doc.afp.com.98NF8WE,2026-02-23 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
"Em entrevista à revista InfoMoney, Flávio Bolsonaro (PL-RJ) propõe o fim do salário mínimo e diz que pagamento prejudica patrões",Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/flavio-bolsonaro-nao-propos-fim-salario-minimo/,2026-03-17 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Foto mostra Lula em frente a carro alegórico que faz alusão a Bolsonaro preso,Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/foto-de-lula-com-alegoria-em-alusao-a-prisao-de-bolsonaro-e-gerada-por-ia/,2026-02-19 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
Lula tirou uma selfie com um palhaço que representa o Bolsonaro no Carnaval,Fake,claim,Falso,AFP Checamos,https://checamos.afp.com/doc.afp.com.983U6G3,2026-02-18 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
Leonel Brizola avisou há 22 anos sobre o governo de Jair Bolsonaro,Fake,claim,Falso,AFP Checamos,https://checamos.afp.com/doc.afp.com.982W4T7,2026-02-18 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
Ministro do STF determinou soltura de Bolsonaro na terça (10),Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/posts-compartilham-video-gerado-por-ia-para-alegar-que-bolsonaro-sera-solto/,2026-02-13 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
Foto de Vorcaro com Bolsonaro e Campos Neto,Fake,claim,Falso,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/02/13/falso-foto-vorcaro-bolsonaro-campos-neto.htm,2026-02-13 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
Bolsonaro pegou 44 milhões dos aposentados e do Banco Master Canal UOL descubriu,Fake,claim,Falso,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/02/10/falso-bolsonaro-r-44-milhoes-fraude-inss-banco-master.htm,2026-02-10 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
Bolsonaro pegou 44 milhões dos aposentados e do Banco Master,Fake,claim,Enganoso,AFP Checamos,https://checamos.afp.com/doc.afp.com.96VG8ZQ,2026-02-10 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
Bolsonaro deixou pronta a ponte sobre o rio Araguaia,Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/direita-esquerda-compartilham-mentiras-ponte-entre-para-e-tocantins/,2026-02-05 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
Bolsonaro deixou obra da ponte sobre o Rio Araguaia parada por quatro anos,Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/direita-esquerda-compartilham-mentiras-ponte-entre-para-e-tocantins/,2026-02-05 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
"Foto de Vorcaro, Bolsonaro e Campos Neto juntos",Fake,claim,Falso,AFP Checamos,https://checamos.afp.com/doc.afp.com.94ZA8T3,2026-02-03 08:00:00,data/raw\factcheck_Bolsonaro_0.csv
